




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2507)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of biological process (GO:0050789)	11898	1746	1448.33	+	1.21	4.61E-31	3.17E-28
regulation of cellular process (GO:0050794)	11351	1681	1381.74	+	1.22	1.41E-30	9.26E-28
embryo development (GO:0009790)	991	272	120.63	+	2.25	8.12E-30	5.13E-27
positive regulation of cellular process (GO:0048522)	5741	971	698.84	+	1.39	2.52E-28	1.47E-25
cell-cell signaling (GO:0007267)	1131	292	137.68	+	2.12	2.45E-28	1.49E-25
regionalization (GO:0003002)	317	133	38.59	+	3.45	4.00E-28	2.26E-25
cell development (GO:0048468)	1646	377	200.37	+	1.88	7.97E-28	4.34E-25
regulation of biological quality (GO:0065008)	3995	729	486.31	+	1.50	1.01E-27	5.33E-25
positive regulation of biological process (GO:0048518)	6331	1046	770.66	+	1.36	1.07E-27	5.46E-25
regulation of cell differentiation (GO:0045595)	1586	365	193.06	+	1.89	3.14E-27	1.55E-24
cell fate commitment (GO:0045165)	238	112	28.97	+	3.87	4.32E-27	2.07E-24
tissue development (GO:0009888)	1729	384	210.47	+	1.82	4.43E-26	2.00E-23
regulation of multicellular organismal development (GO:2000026)	1332	319	162.14	+	1.97	4.35E-26	2.02E-23
positive regulation of developmental process (GO:0051094)	1271	307	154.72	+	1.98	1.44E-25	6.33E-23
tube development (GO:0035295)	856	233	104.20	+	2.24	3.46E-25	1.48E-22
negative regulation of biological process (GO:0048519)	5501	922	669.63	+	1.38	4.03E-25	1.68E-22
embryonic morphogenesis (GO:0048598)	570	179	69.39	+	2.58	5.30E-25	2.15E-22
anatomical structure formation involved in morphogenesis (GO:0048646)	883	237	107.49	+	2.20	8.49E-25	3.35E-22
negative regulation of cellular process (GO:0048523)	4902	839	596.71	+	1.41	9.71E-25	3.74E-22
head development (GO:0060322)	803	222	97.75	+	2.27	1.00E-24	3.76E-22
regulation of transport (GO:0051049)	1772	383	215.70	+	1.78	4.12E-24	1.51E-21
behavior (GO:0007610)	557	173	67.80	+	2.55	7.76E-24	2.79E-21
brain development (GO:0007420)	759	211	92.39	+	2.28	8.68E-24	3.05E-21
sensory organ development (GO:0007423)	555	172	67.56	+	2.55	1.25E-23	4.30E-21
positive regulation of multicellular organismal process (GO:0051240)	1431	326	174.19	+	1.87	1.48E-23	4.99E-21
regulation of ion transport (GO:0043269)	703	200	85.58	+	2.34	1.80E-23	5.92E-21
signaling (GO:0023052)	5565	919	677.42	+	1.36	4.37E-23	1.41E-20
nucleic acid metabolic process (GO:0090304)	2217	124	269.87	-	.46	4.75E-23	1.50E-20
embryonic organ development (GO:0048568)	435	145	52.95	+	2.74	2.41E-22	7.31E-20
circulatory system development (GO:0072359)	877	228	106.76	+	2.14	2.37E-22	7.34E-20
positive regulation of cell differentiation (GO:0045597)	840	221	102.25	+	2.16	2.69E-22	8.02E-20
neuron development (GO:0048666)	846	221	102.98	+	2.15	5.87E-22	1.72E-19
cell communication (GO:0007154)	5656	922	688.50	+	1.34	1.39E-21	3.99E-19
modulation of chemical synaptic transmission (GO:0050804)	431	141	52.47	+	2.69	2.70E-21	7.62E-19
regulation of signal transduction (GO:0009966)	3128	573	380.77	+	1.50	2.75E-21	7.64E-19
regulation of trans-synaptic signaling (GO:0099177)	432	141	52.59	+	2.68	3.15E-21	8.59E-19
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	1	53.68	-	.02	4.65E-21	1.24E-18
heterocycle metabolic process (GO:0046483)	2891	193	351.92	-	.55	8.87E-21	2.34E-18
tube morphogenesis (GO:0035239)	654	182	79.61	+	2.29	1.36E-20	3.53E-18
regulation of system process (GO:0044057)	585	168	71.21	+	2.36	3.71E-20	9.47E-18
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	277	147.54	+	1.88	4.05E-20	1.02E-17
nucleobase-containing compound metabolic process (GO:0006139)	2705	178	329.28	-	.54	4.64E-20	1.15E-17
cellular nitrogen compound metabolic process (GO:0034641)	3395	245	413.27	-	.59	5.38E-20	1.31E-17
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	4	59.16	-	.07	1.83E-19	4.39E-17
tissue morphogenesis (GO:0048729)	545	158	66.34	+	2.38	2.14E-19	5.05E-17
regulation of transcription by RNA polymerase II (GO:0006357)	2595	485	315.89	+	1.54	3.79E-19	8.80E-17
negative regulation of developmental process (GO:0051093)	879	216	107.00	+	2.02	7.23E-19	1.66E-16
forebrain development (GO:0030900)	387	125	47.11	+	2.65	1.27E-18	2.86E-16
embryonic organ morphogenesis (GO:0048562)	295	106	35.91	+	2.95	1.51E-18	3.36E-16
regulation of cell population proliferation (GO:0042127)	1654	340	201.34	+	1.69	1.98E-18	4.34E-16
positive regulation of transcription, DNA-templated (GO:0045893)	1628	335	198.17	+	1.69	4.21E-18	8.99E-16
positive regulation of RNA biosynthetic process (GO:1902680)	1629	335	198.30	+	1.69	4.28E-18	9.03E-16
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	335	198.17	+	1.69	4.21E-18	9.11E-16
trans-synaptic signaling (GO:0099537)	432	132	52.59	+	2.51	5.82E-18	1.21E-15
cellular aromatic compound metabolic process (GO:0006725)	2937	209	357.52	-	.58	7.27E-18	1.49E-15
RNA processing (GO:0006396)	930	33	113.21	-	.29	8.96E-18	1.82E-15
synaptic signaling (GO:0099536)	464	138	56.48	+	2.44	1.02E-17	2.05E-15
skeletal system development (GO:0001501)	479	140	58.31	+	2.40	1.67E-17	3.31E-15
nitrogen compound metabolic process (GO:0006807)	6886	631	838.22	-	.75	2.18E-17	4.25E-15
regulation of response to stimulus (GO:0048583)	4306	714	524.16	+	1.36	3.31E-17	6.38E-15
gene expression (GO:0010467)	2117	134	257.70	-	.52	4.64E-17	8.84E-15
anterior/posterior pattern specification (GO:0009952)	203	82	24.71	+	3.32	4.72E-17	8.89E-15
neuron projection development (GO:0031175)	691	177	84.11	+	2.10	6.24E-17	1.16E-14
positive regulation of metabolic process (GO:0009893)	3820	646	465.00	+	1.39	6.51E-17	1.18E-14
neuron projection morphogenesis (GO:0048812)	499	142	60.74	+	2.34	6.48E-17	1.19E-14
central nervous system neuron differentiation (GO:0021953)	183	77	22.28	+	3.46	7.16E-17	1.27E-14
epithelium development (GO:0060429)	1113	248	135.48	+	1.83	7.08E-17	1.27E-14
cell morphogenesis (GO:0000902)	715	181	87.04	+	2.08	7.41E-17	1.30E-14
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	142	61.23	+	2.32	9.24E-17	1.61E-14
anterograde trans-synaptic signaling (GO:0098916)	414	125	50.40	+	2.48	1.38E-16	2.35E-14
chemical synaptic transmission (GO:0007268)	414	125	50.40	+	2.48	1.38E-16	2.37E-14
cell projection morphogenesis (GO:0048858)	507	142	61.72	+	2.30	1.86E-16	3.12E-14
regulation of nervous system development (GO:0051960)	443	130	53.93	+	2.41	2.10E-16	3.46E-14
positive regulation of RNA metabolic process (GO:0051254)	1773	349	215.82	+	1.62	2.13E-16	3.47E-14
heart development (GO:0007507)	535	147	65.12	+	2.26	2.09E-16	3.48E-14
regulation of ion transmembrane transport (GO:0034765)	502	141	61.11	+	2.31	2.31E-16	3.72E-14
system process (GO:0003008)	2057	391	250.40	+	1.56	2.73E-16	4.31E-14
primary metabolic process (GO:0044238)	7352	691	894.95	-	.77	2.70E-16	4.31E-14
urogenital system development (GO:0001655)	324	106	39.44	+	2.69	3.24E-16	5.07E-14
organic cyclic compound metabolic process (GO:1901360)	3182	241	387.34	-	.62	4.39E-16	6.80E-14
macromolecule metabolic process (GO:0043170)	6151	558	748.75	-	.75	6.55E-16	1.01E-13
axon development (GO:0061564)	421	124	51.25	+	2.42	7.41E-16	1.13E-13
cellular metabolic process (GO:0044237)	7542	717	918.08	-	.78	1.02E-15	1.53E-13
cell part morphogenesis (GO:0032990)	526	143	64.03	+	2.23	1.02E-15	1.54E-13
positive regulation of cellular metabolic process (GO:0031325)	3314	568	403.41	+	1.41	1.22E-15	1.80E-13
regulation of membrane potential (GO:0042391)	437	126	53.20	+	2.37	1.42E-15	2.08E-13
cellular component morphogenesis (GO:0032989)	611	158	74.38	+	2.12	1.61E-15	2.33E-13
regulation of transmembrane transport (GO:0034762)	591	154	71.94	+	2.14	1.68E-15	2.42E-13
renal system development (GO:0072001)	291	97	35.42	+	2.74	2.35E-15	3.32E-13
positive regulation of cell communication (GO:0010647)	1755	341	213.63	+	1.60	2.34E-15	3.34E-13
positive regulation of signaling (GO:0023056)	1761	342	214.36	+	1.60	2.52E-15	3.53E-13
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	539	380.16	+	1.42	2.73E-15	3.79E-13
negative regulation of cell differentiation (GO:0045596)	644	163	78.39	+	2.08	2.95E-15	4.05E-13
negative regulation of signaling (GO:0023057)	1405	287	171.03	+	1.68	3.08E-15	4.20E-13
positive regulation of macromolecule metabolic process (GO:0010604)	3522	594	428.73	+	1.39	3.46E-15	4.68E-13
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	128	55.14	+	2.32	3.71E-15	4.97E-13
circulatory system process (GO:0003013)	481	133	58.55	+	2.27	4.28E-15	5.68E-13
negative regulation of response to stimulus (GO:0048585)	1831	351	222.89	+	1.57	5.41E-15	7.13E-13
regulation of secretion (GO:0051046)	639	161	77.78	+	2.07	5.83E-15	7.61E-13
mRNA metabolic process (GO:0016071)	697	22	84.84	-	.26	6.26E-15	8.12E-13
locomotion (GO:0040011)	1345	276	163.72	+	1.69	6.58E-15	8.46E-13
negative regulation of cell communication (GO:0010648)	1401	285	170.54	+	1.67	7.34E-15	9.36E-13
axonogenesis (GO:0007409)	385	114	46.87	+	2.43	9.03E-15	1.14E-12
cell fate specification (GO:0001708)	81	47	9.86	+	4.77	1.08E-14	1.35E-12
negative regulation of multicellular organismal process (GO:0051241)	1014	223	123.43	+	1.81	1.09E-14	1.35E-12
RNA metabolic process (GO:0016070)	1582	94	192.57	-	.49	1.20E-14	1.49E-12
muscle structure development (GO:0061061)	473	130	57.58	+	2.26	1.26E-14	1.55E-12
cell morphogenesis involved in differentiation (GO:0000904)	559	145	68.05	+	2.13	1.59E-14	1.93E-12
regulation of locomotion (GO:0040012)	997	219	121.36	+	1.80	2.05E-14	2.47E-12
sensory organ morphogenesis (GO:0090596)	261	88	31.77	+	2.77	2.39E-14	2.86E-12
morphogenesis of an epithelium (GO:0002009)	441	123	53.68	+	2.29	2.57E-14	3.05E-12
extracellular matrix organization (GO:0030198)	383	112	46.62	+	2.40	2.61E-14	3.08E-12
detection of chemical stimulus (GO:0009593)	522	12	63.54	-	.19	2.89E-14	3.38E-12
extracellular structure organization (GO:0043062)	384	112	46.74	+	2.40	2.92E-14	3.39E-12
regulation of neuron differentiation (GO:0045664)	193	73	23.49	+	3.11	3.62E-14	4.18E-12
regulation of anatomical structure morphogenesis (GO:0022603)	967	213	117.71	+	1.81	3.92E-14	4.49E-12
organic substance metabolic process (GO:0071704)	7840	763	954.35	-	.80	4.78E-14	5.44E-12
sensory perception of smell (GO:0007608)	468	9	56.97	-	.16	4.84E-14	5.47E-12
inorganic ion transmembrane transport (GO:0098660)	637	157	77.54	+	2.02	5.15E-14	5.77E-12
external encapsulating structure organization (GO:0045229)	386	112	46.99	+	2.38	5.27E-14	5.86E-12
regulation of secretion by cell (GO:1903530)	581	147	70.72	+	2.08	6.59E-14	7.28E-12
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	361	236.28	+	1.53	7.31E-14	7.96E-12
blood circulation (GO:0008015)	390	112	47.47	+	2.36	7.30E-14	8.02E-12
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	79	27.02	+	2.92	7.46E-14	8.08E-12
neuron projection guidance (GO:0097485)	278	90	33.84	+	2.66	7.91E-14	8.45E-12
positive regulation of cellular biosynthetic process (GO:0031328)	1969	365	239.68	+	1.52	7.89E-14	8.49E-12
regulation of cell development (GO:0060284)	500	132	60.86	+	2.17	9.35E-14	9.92E-12
regulation of neurogenesis (GO:0050767)	364	107	44.31	+	2.41	1.07E-13	1.13E-11
positive regulation of biosynthetic process (GO:0009891)	2004	369	243.94	+	1.51	1.22E-13	1.28E-11
chemotaxis (GO:0006935)	547	140	66.59	+	2.10	1.38E-13	1.43E-11
movement of cell or subcellular component (GO:0006928)	1596	308	194.28	+	1.59	1.54E-13	1.59E-11
taxis (GO:0042330)	550	140	66.95	+	2.09	1.65E-13	1.69E-11
cellular macromolecule catabolic process (GO:0044265)	925	42	112.60	-	.37	1.82E-13	1.85E-11
kidney development (GO:0001822)	282	90	34.33	+	2.62	1.84E-13	1.86E-11
regulation of cellular component movement (GO:0051270)	1032	220	125.62	+	1.75	2.09E-13	2.10E-11
axon guidance (GO:0007411)	277	89	33.72	+	2.64	2.18E-13	2.18E-11
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	347	226.78	+	1.53	2.26E-13	2.25E-11
signal transduction (GO:0007165)	5227	810	636.28	+	1.27	2.73E-13	2.70E-11
cellular protein-containing complex assembly (GO:0034622)	867	38	105.54	-	.36	3.45E-13	3.39E-11
neuropeptide signaling pathway (GO:0007218)	109	51	13.27	+	3.84	5.17E-13	5.05E-11
cellular macromolecule metabolic process (GO:0044260)	4909	440	597.57	-	.74	5.57E-13	5.40E-11
chordate embryonic development (GO:0043009)	613	149	74.62	+	2.00	6.18E-13	5.96E-11
metabolic process (GO:0008152)	8313	827	1011.93	-	.82	6.46E-13	6.19E-11
ion transmembrane transport (GO:0034220)	870	192	105.90	+	1.81	6.63E-13	6.31E-11
blood vessel development (GO:0001568)	492	128	59.89	+	2.14	6.79E-13	6.42E-11
ion transport (GO:0006811)	1200	244	146.07	+	1.67	7.63E-13	7.18E-11
embryo development ending in birth or egg hatching (GO:0009792)	633	152	77.05	+	1.97	8.59E-13	8.03E-11
regulation of RNA biosynthetic process (GO:2001141)	3480	572	423.62	+	1.35	9.59E-13	8.92E-11
inorganic cation transmembrane transport (GO:0098662)	573	141	69.75	+	2.02	1.13E-12	1.04E-10
biological adhesion (GO:0022610)	959	205	116.74	+	1.76	1.16E-12	1.07E-10
ear development (GO:0043583)	220	75	26.78	+	2.80	1.19E-12	1.09E-10
blood vessel morphogenesis (GO:0048514)	410	112	49.91	+	2.24	1.21E-12	1.09E-10
vasculature development (GO:0001944)	514	131	62.57	+	2.09	1.20E-12	1.09E-10
cell adhesion (GO:0007155)	953	204	116.01	+	1.76	1.36E-12	1.22E-10
regulation of transcription, DNA-templated (GO:0006355)	3474	570	422.89	+	1.35	1.39E-12	1.23E-10
regulation of cation transmembrane transport (GO:1904062)	378	106	46.01	+	2.30	1.38E-12	1.23E-10
regulation of nucleic acid-templated transcription (GO:1903506)	3475	570	423.01	+	1.35	1.41E-12	1.24E-10
cation transport (GO:0006812)	824	183	100.30	+	1.82	1.68E-12	1.47E-10
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	196	110.29	+	1.78	1.71E-12	1.50E-10
cation transmembrane transport (GO:0098655)	641	152	78.03	+	1.95	1.79E-12	1.56E-10
negative regulation of transcription, DNA-templated (GO:0045892)	1297	257	157.88	+	1.63	1.84E-12	1.59E-10
response to endogenous stimulus (GO:0009719)	1426	277	173.58	+	1.60	1.91E-12	1.64E-10
cellular response to stimulus (GO:0051716)	6807	1007	828.61	+	1.22	2.09E-12	1.78E-10
protein-containing complex subunit organization (GO:0043933)	1605	104	195.37	-	.53	2.12E-12	1.80E-10
potassium ion transmembrane transport (GO:0071805)	158	61	19.23	+	3.17	2.24E-12	1.90E-10
organelle organization (GO:0006996)	3567	300	434.21	-	.69	2.32E-12	1.95E-10
gland development (GO:0048732)	414	112	50.40	+	2.22	2.46E-12	2.04E-10
regulation of cell migration (GO:0030334)	892	193	108.58	+	1.78	2.45E-12	2.05E-10
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	257	158.13	+	1.63	2.48E-12	2.05E-10
negative regulation of RNA biosynthetic process (GO:1902679)	1301	257	158.37	+	1.62	2.60E-12	2.14E-10
regulation of cell motility (GO:2000145)	954	203	116.13	+	1.75	2.75E-12	2.25E-10
macromolecule catabolic process (GO:0009057)	1058	56	128.79	-	.43	3.21E-12	2.62E-10
response to oxygen-containing compound (GO:1901700)	1604	302	195.25	+	1.55	3.63E-12	2.94E-10
negative regulation of signal transduction (GO:0009968)	1305	257	158.86	+	1.62	3.70E-12	2.97E-10
spinal cord development (GO:0021510)	100	47	12.17	+	3.86	3.69E-12	2.98E-10
neuron fate commitment (GO:0048663)	62	37	7.55	+	4.90	3.83E-12	3.06E-10
cellular response to chemical stimulus (GO:0070887)	2914	489	354.72	+	1.38	4.84E-12	3.84E-10
response to stimulus (GO:0050896)	8540	1221	1039.56	+	1.17	5.92E-12	4.68E-10
skeletal system morphogenesis (GO:0048705)	224	74	27.27	+	2.71	6.28E-12	4.94E-10
cellular response to endogenous stimulus (GO:0071495)	1152	232	140.23	+	1.65	6.87E-12	5.38E-10
endocrine system development (GO:0035270)	124	52	15.09	+	3.44	8.15E-12	6.35E-10
regulation of hormone levels (GO:0010817)	538	132	65.49	+	2.02	8.30E-12	6.43E-10
reproductive system development (GO:0061458)	419	111	51.00	+	2.18	8.62E-12	6.65E-10
camera-type eye development (GO:0043010)	317	92	38.59	+	2.38	9.67E-12	7.42E-10
epithelial tube morphogenesis (GO:0060562)	309	90	37.61	+	2.39	1.09E-11	8.30E-10
reproductive structure development (GO:0048608)	416	110	50.64	+	2.17	1.20E-11	9.10E-10
positive regulation of nervous system development (GO:0051962)	274	83	33.35	+	2.49	1.36E-11	1.03E-09
sensory system development (GO:0048880)	374	102	45.53	+	2.24	1.46E-11	1.10E-09
locomotory behavior (GO:0007626)	181	64	22.03	+	2.90	1.49E-11	1.11E-09
telencephalon development (GO:0021537)	254	79	30.92	+	2.56	1.51E-11	1.13E-09
potassium ion transport (GO:0006813)	167	61	20.33	+	3.00	1.82E-11	1.35E-09
cellular process (GO:0009987)	15495	2035	1886.18	+	1.08	1.96E-11	1.45E-09
response to organic substance (GO:0010033)	3008	498	366.16	+	1.36	1.98E-11	1.46E-09
cognition (GO:0050890)	298	87	36.28	+	2.40	2.43E-11	1.78E-09
regulation of blood circulation (GO:1903522)	278	83	33.84	+	2.45	3.03E-11	2.21E-09
heart morphogenesis (GO:0003007)	241	76	29.34	+	2.59	3.07E-11	2.22E-09
response to chemical (GO:0042221)	4381	682	533.29	+	1.28	3.31E-11	2.39E-09
muscle tissue development (GO:0060537)	301	87	36.64	+	2.37	3.34E-11	2.40E-09
neuron migration (GO:0001764)	117	49	14.24	+	3.44	3.35E-11	2.40E-09
inner ear development (GO:0048839)	195	66	23.74	+	2.78	3.53E-11	2.52E-09
nephron development (GO:0072006)	126	51	15.34	+	3.33	3.59E-11	2.55E-09
eye development (GO:0001654)	364	99	44.31	+	2.23	3.75E-11	2.65E-09
regulation of RNA metabolic process (GO:0051252)	3782	601	460.38	+	1.31	4.30E-11	3.02E-09
regulation of hormone secretion (GO:0046883)	276	82	33.60	+	2.44	4.67E-11	3.27E-09
visual system development (GO:0150063)	368	99	44.80	+	2.21	4.96E-11	3.45E-09
sensory perception of chemical stimulus (GO:0007606)	543	19	66.10	-	.29	6.34E-11	4.40E-09
negative regulation of RNA metabolic process (GO:0051253)	1408	266	171.39	+	1.55	7.14E-11	4.93E-09
cellular protein metabolic process (GO:0044267)	3590	312	437.01	-	.71	9.30E-11	6.39E-09
striated muscle tissue development (GO:0014706)	286	83	34.81	+	2.38	9.59E-11	6.56E-09
chemical homeostasis (GO:0048878)	1139	224	138.65	+	1.62	1.10E-10	7.52E-09
positive regulation of ion transport (GO:0043270)	297	85	36.15	+	2.35	1.17E-10	7.91E-09
regulation of neuron projection development (GO:0010975)	447	112	54.41	+	2.06	1.32E-10	8.94E-09
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	143	76.81	+	1.86	1.45E-10	9.73E-09
regulation of nitrogen compound metabolic process (GO:0051171)	5740	854	698.72	+	1.22	1.79E-10	1.20E-08
DNA metabolic process (GO:0006259)	777	38	94.58	-	.40	2.05E-10	1.36E-08
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	51	16.31	+	3.13	2.09E-10	1.39E-08
regulation of cation channel activity (GO:2001257)	186	62	22.64	+	2.74	2.23E-10	1.48E-08
divalent inorganic cation homeostasis (GO:0072507)	481	117	58.55	+	2.00	2.25E-10	1.48E-08
regulation of cell projection organization (GO:0031344)	648	145	78.88	+	1.84	2.38E-10	1.56E-08
mRNA processing (GO:0006397)	486	16	59.16	-	.27	2.43E-10	1.58E-08
ion homeostasis (GO:0050801)	773	165	94.10	+	1.75	2.65E-10	1.72E-08
regulation of cellular metabolic process (GO:0031323)	6138	903	747.17	+	1.21	2.94E-10	1.90E-08
regulation of primary metabolic process (GO:0080090)	5925	876	721.24	+	1.21	3.04E-10	1.96E-08
digestive system development (GO:0055123)	136	51	16.56	+	3.08	3.17E-10	2.04E-08
regulation of peptide secretion (GO:0002791)	226	70	27.51	+	2.54	3.26E-10	2.09E-08
regulation of neurotransmitter levels (GO:0001505)	218	68	26.54	+	2.56	3.38E-10	2.15E-08
positive regulation of cell population proliferation (GO:0008284)	939	191	114.30	+	1.67	3.64E-10	2.31E-08
regulation of peptide transport (GO:0090087)	228	70	27.75	+	2.52	3.85E-10	2.44E-08
regulation of metabolic process (GO:0019222)	6874	996	836.76	+	1.19	3.96E-10	2.49E-08
ncRNA metabolic process (GO:0034660)	521	19	63.42	-	.30	4.36E-10	2.74E-08
cell migration (GO:0016477)	968	195	117.83	+	1.65	4.63E-10	2.90E-08
vascular process in circulatory system (GO:0003018)	251	74	30.55	+	2.42	4.66E-10	2.90E-08
ear morphogenesis (GO:0042471)	120	47	14.61	+	3.22	4.97E-10	3.08E-08
ribonucleoprotein complex biogenesis (GO:0022613)	462	15	56.24	-	.27	5.89E-10	3.64E-08
kidney epithelium development (GO:0072073)	126	48	15.34	+	3.13	6.85E-10	4.22E-08
metanephros development (GO:0001656)	79	37	9.62	+	3.85	7.60E-10	4.66E-08
adaptive immune response (GO:0002250)	658	30	80.10	-	.37	7.71E-10	4.71E-08
positive regulation of signal transduction (GO:0009967)	1584	286	192.82	+	1.48	7.79E-10	4.72E-08
regulation of peptide hormone secretion (GO:0090276)	222	68	27.02	+	2.52	7.77E-10	4.73E-08
regulation of synaptic plasticity (GO:0048167)	188	61	22.88	+	2.67	8.63E-10	5.21E-08
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	279	187.46	+	1.49	9.97E-10	5.99E-08
positive regulation of transport (GO:0051050)	947	190	115.28	+	1.65	1.06E-09	6.33E-08
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	280	188.80	+	1.48	1.14E-09	6.82E-08
Unclassified (UNCLASSIFIED)	2744	230	334.02	-	.69	1.24E-09	7.32E-08
biological_process (GO:0008150)	17851	2277	2172.98	+	1.05	1.24E-09	7.35E-08
pancreas development (GO:0031016)	69	34	8.40	+	4.05	1.33E-09	7.87E-08
plasma membrane bounded cell projection organization (GO:0120036)	1175	224	143.03	+	1.57	1.36E-09	8.01E-08
ncRNA processing (GO:0034470)	436	14	53.07	-	.26	1.38E-09	8.07E-08
regulation of biosynthetic process (GO:0009889)	4226	648	514.42	+	1.26	1.47E-09	8.58E-08
negative regulation of cellular biosynthetic process (GO:0031327)	1610	288	195.98	+	1.47	1.64E-09	9.52E-08
translation (GO:0006412)	387	11	47.11	-	.23	1.73E-09	9.99E-08
digestive tract development (GO:0048565)	126	47	15.34	+	3.06	1.78E-09	1.03E-07
mesenchyme development (GO:0060485)	224	67	27.27	+	2.46	1.90E-09	1.09E-07
cellular divalent inorganic cation homeostasis (GO:0072503)	460	110	56.00	+	1.96	1.91E-09	1.09E-07
regulation of cellular biosynthetic process (GO:0031326)	4163	639	506.76	+	1.26	1.93E-09	1.10E-07
calcium ion homeostasis (GO:0055074)	438	106	53.32	+	1.99	1.94E-09	1.10E-07
negative regulation of biosynthetic process (GO:0009890)	1643	292	200.00	+	1.46	2.27E-09	1.29E-07
transmembrane transport (GO:0055085)	1276	238	155.33	+	1.53	2.41E-09	1.36E-07
embryonic skeletal system development (GO:0048706)	123	46	14.97	+	3.07	2.47E-09	1.39E-07
protein-containing complex assembly (GO:0065003)	1358	93	165.31	-	.56	2.61E-09	1.46E-07
regulation of heart contraction (GO:0008016)	230	68	28.00	+	2.43	2.61E-09	1.46E-07
intracellular transport (GO:0046907)	1464	103	178.21	-	.58	2.60E-09	1.46E-07
regulation of synapse structure or activity (GO:0050803)	221	66	26.90	+	2.45	2.66E-09	1.48E-07
synapse organization (GO:0050808)	289	79	35.18	+	2.25	2.83E-09	1.57E-07
cellular response to organic substance (GO:0071310)	2344	391	285.33	+	1.37	2.85E-09	1.57E-07
